Variable,Color,Metric,Value,sum,fraction
D3C1,GREEN,Number of stocks,19,73,751107.301424658
D3C1,GREY,Number of stocks,51,73,2016130.12487671
D3C1,RED,Number of stocks,3,73,118595.88969863
D3C2,GREEN,Number of stocks,14,73,553447.485260274
D3C2,GREY,Number of stocks,51,73,2016130.12487671
D3C2,RED,Number of stocks,8,73,316255.705863014
D3C1,GREEN,Proportion of catch 
(thousand tonnes),1300441,2885833.316,1300441
D3C1,GREY,Proportion of catch 
(thousand tonnes),107907,2885833.316,107907.316
D3C1,RED,Proportion of catch 
(thousand tonnes),1477485,2885833.316,1477485
D3C2,GREEN,Proportion of catch 
(thousand tonnes),2685061,2885833.316,2685061
D3C2,GREY,Proportion of catch 
(thousand tonnes),118297,2885833.316,118297.316
D3C2,RED,Proportion of catch 
(thousand tonnes),82475,2885833.316,82475
