StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
ank.27.78abd,benthic,NA,9531,8676,855,NA,0.511,2021,2020,NA,4.416,NA,GREY,9531
ank.27.8c9a,benthic,0.22,NA,669,NA,1,0.22,2020,2020,3.34,1.67,0.5,GREEN,NA
ldb.27.8c9a,benthic,0.761658031088083,943,742,201,0.193,0.147,2020,2020,1.66195652173913,7645,4600,GREEN,943
meg.27.7b-k8abd,benthic,0.717277486910995,NA,11141,885,0.191,0.137,2021,2021,3.02179425837321,126311,41800,GREEN,NA
meg.27.8c9a,benthic,0.607329842931937,NA,320,5,0.191,0.116,2021,2021,2.83877551020408,2782,980,GREEN,NA
mon.27.78abd,benthic,0.832142857142857,21491,20156,1335,0.28,0.233,2021,2021,2.88131789209085,64190,22278,GREEN,21491
mon.27.8c9a,benthic,0.345833333333333,NA,722,NA,0.24,0.083,2021,2021,1.85023078147382,11625,6283,GREEN,NA
sol.27.8ab,benthic,1.15151515151515,NA,3219,74,0.33,0.38,2021,2021,0.896415094339623,9502,10600,RED,NA
sol.27.8c9a,benthic,NA,NA,430,0,NA,NA,2021,2020,NA,0.957,NA,GREY,NA
