StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
nep.fu.2324,crustacean,0.641558441558442,4181,2273,1908,7.7,4.94,2021,2021,NA,3431,NA,GREY,4181
nep.fu.25,crustacean,0.176,3,2,NA,1,0.176,2021,2021,0.194,0.097,0.5,RED,3
nep.fu.2627,crustacean,0.426,5,NA,NA,1,0.426,2021,2021,0.042,0.021,0.5,RED,NA
nep.fu.2829,crustacean,0.461,NA,299,NA,1,0.461,2019,2018,NA,6.46,NA,GREY,NA
nep.fu.30,crustacean,NA,63,NA,NA,NA,NA,2021,2021,NA,73,NA,GREY,NA
nep.fu.31,crustacean,0.442,10,1,NA,1,0.442,2021,2021,0.888,0.444,0.5,RED,10
