WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-2.2 45.05,-2.2 45.1,-2.15 45.1,-2.15 45.05,-2.2 45.05))",21.8283065926631,239.178171180582,18.6636720286386,Bay of Biscay and the Iberian Coast,"19E7",7400:352:101:4,45.075,-2.175
"POLYGON ((-2.05 44.9,-2.05 44.95,-2 44.95,-2 44.9,-2.05 44.9))",21.8855279008893,818.276793842696,205.926623649731,Bay of Biscay and the Iberian Coast,"18E7",7400:142:390:1,44.925,-2.025
"POLYGON ((-1.2 45.2,-1.2 45.25,-1.15 45.25,-1.15 45.2,-1.2 45.2))",21.7709356756676,117.194453269579,10.8449224463624,Bay of Biscay and the Iberian Coast,"19E8",7400:351:121:2,45.225,-1.175
"POLYGON ((-5.9 47.4,-5.9 47.45,-5.85 47.45,-5.85 47.4,-5.9 47.4))",20.9125603669689,158.804865507728,14.1059338837549,Bay of Biscay and the Iberian Coast,"23E4",7400:475:248:2,47.425,-5.875
"POLYGON ((-2.05 43.75,-2.05 43.8,-2 43.8,-2 43.75,-2.05 43.75))",22.3192124619487,31.9693958889619,2.04171193602444,Bay of Biscay and the Iberian Coast,"16E7",7400:132:370:3,43.775,-2.025
"POLYGON ((-4.45 47.05,-4.45 47.1,-4.4 47.1,-4.4 47.05,-4.45 47.05))",21.0512154692583,1306.17031419427,103.101420344585,Bay of Biscay and the Iberian Coast,"23E5",7400:374:104:3,47.075,-4.425
"POLYGON ((-3.3 45.8,-3.3 45.85,-3.25 45.85,-3.25 45.8,-3.3 45.8))",21.5399637995939,277.052723776572,21.6101124545726,Bay of Biscay and the Iberian Coast,"20E6",7400:353:382:2,45.825,-3.275
"POLYGON ((-4.45 46.85,-4.45 46.9,-4.4 46.9,-4.4 46.85,-4.45 46.85))",21.1300945968488,634.519066418981,49.4763885037539,Bay of Biscay and the Iberian Coast,"22E5",7400:364:384:3,46.875,-4.425
"POLYGON ((-3.45 45.55,-3.45 45.6,-3.4 45.6,-3.4 45.55,-3.45 45.55))",21.6364906015059,333.43185080869,25.9999081989169,Bay of Biscay and the Iberian Coast,"20E6",7400:353:354:3,45.575,-3.425
"POLYGON ((-1.55 44.35,-1.55 44.4,-1.5 44.4,-1.5 44.35,-1.55 44.35))",22.0940530513753,341.190503333909,39.8474224789508,Bay of Biscay and the Iberian Coast,"17E8",7400:141:235:3,44.375,-1.525
"POLYGON ((-1.2 45.05,-1.2 45.1,-1.15 45.1,-1.15 45.05,-1.2 45.05))",21.8283065926631,3.0815248127044,0.398806712312602,Bay of Biscay and the Iberian Coast,"19E8",7400:351:101:4,45.075,-1.175
"POLYGON ((-1.9 43.9,-1.9 43.95,-1.85 43.95,-1.85 43.9,-1.9 43.9))",22.2631511074778,426.465297705805,32.3160361219911,Bay of Biscay and the Iberian Coast,"16E8",7400:131:498:2,43.925,-1.875
"POLYGON ((-5.65 47.15,-5.65 47.2,-5.6 47.2,-5.6 47.15,-5.65 47.15))",21.0116796568646,49.2971216074466,2.85247179309638,Bay of Biscay and the Iberian Coast,"23E4",7400:475:216:3,47.175,-5.625
"POLYGON ((-7.35 47.85,-7.35 47.9,-7.3 47.9,-7.3 47.85,-7.35 47.85))",20.7331435927084,486.736894574697,37.9654777768264,Bay of Biscay and the Iberian Coast,"24E2",7400:477:383:3,47.875,-7.325
"POLYGON ((-1.95 44.0,-1.95 44.05,-1.9 44.05,-1.9 44.0,-1.95 44.0))",22.2256920756553,445.391554417261,32.4275849034058,Bay of Biscay and the Iberian Coast,"17E8",7400:141:209:1,44.025,-1.925
"POLYGON ((-5.2 46.9,-5.2 46.95,-5.15 46.95,-5.15 46.9,-5.2 46.9))",21.1103989146674,301.572709602986,23.1885764093778,Bay of Biscay and the Iberian Coast,"22E4",7400:465:391:2,46.925,-5.175
"POLYGON ((-3.15 47.4,-3.15 47.45,-3.1 47.45,-3.1 47.4,-3.15 47.4))",20.9125603669689,7.65569511537518,5.32051393013766,Bay of Biscay and the Iberian Coast,"23E6",7400:373:141:1,47.425,-3.125
"POLYGON ((-3.65 46.0,-3.65 46.05,-3.6 46.05,-3.6 46.0,-3.65 46.0))",21.4624470048903,234.308085190091,18.2760306448271,Bay of Biscay and the Iberian Coast,"21E6",7400:363:206:1,46.025,-3.625
"POLYGON ((-4 46.9,-4 46.95,-3.95 46.95,-3.95 46.9,-4 46.9))",21.1103989146674,634.3277242225,54.1649282595908,Bay of Biscay and the Iberian Coast,"22E6",7400:363:499:2,46.925,-3.975
"POLYGON ((-2 43.95,-2 44.0,-1.95 44.0,-1.95 43.95,-2 43.95))",22.2444300616171,507.136927636667,37.2261064803852,Bay of Biscay and the Iberian Coast,"16E8",7400:131:499:4,43.975,-1.975
"POLYGON ((-3.25 45.55,-3.25 45.6,-3.2 45.6,-3.2 45.55,-3.25 45.55))",21.6364906015059,60.1643122851043,4.69281635823813,Bay of Biscay and the Iberian Coast,"20E6",7400:353:352:3,45.575,-3.225
"POLYGON ((-4.55 46.65,-4.55 46.7,-4.5 46.7,-4.5 46.65,-4.55 46.65))",21.2087162609048,86.2772745699496,6.68954848085403,Bay of Biscay and the Iberian Coast,"22E5",7400:364:465:3,46.675,-4.525
"POLYGON ((-1.6 44.75,-1.6 44.8,-1.55 44.8,-1.55 44.75,-1.6 44.75))",21.9425992081578,255.009914488281,69.9169783126685,Bay of Biscay and the Iberian Coast,"18E8",7400:141:475:4,44.775,-1.575
"POLYGON ((-5.55 47.45,-5.55 47.5,-5.5 47.5,-5.5 47.45,-5.55 47.45))",20.8926886710687,37.8199495336935,2.9499560636281,Bay of Biscay and the Iberian Coast,"23E4",7400:475:245:3,47.475,-5.525
"POLYGON ((-6.8 47.5,-6.8 47.55,-6.75 47.55,-6.75 47.5,-6.8 47.5))",20.8728010644773,42.8834536941501,3.29757811733616,Bay of Biscay and the Iberian Coast,"24E3",7400:476:457:2,47.525,-6.775
"POLYGON ((-3.25 46.1,-3.25 46.15,-3.2 46.15,-3.2 46.1,-3.25 46.1))",21.4235904809527,544.317854632248,42.4709303082052,Bay of Biscay and the Iberian Coast,"21E6",7400:363:112:1,46.125,-3.225
"POLYGON ((-3.25 45.25,-3.25 45.3,-3.2 45.3,-3.2 45.25,-3.25 45.25))",21.7517788582093,26.6501743676478,2.07871360067653,Bay of Biscay and the Iberian Coast,"19E6",7400:353:122:3,45.275,-3.225
"POLYGON ((-4.15 46.2,-4.15 46.25,-4.1 46.25,-4.1 46.2,-4.15 46.2))",21.3846686970431,38.4733842896935,2.78459341166145,Bay of Biscay and the Iberian Coast,"21E5",7400:364:121:1,46.225,-4.125
"POLYGON ((-4.65 46.75,-4.65 46.8,-4.6 46.8,-4.6 46.75,-4.65 46.75))",21.169437671766,250.21670801858,19.4911852218326,Bay of Biscay and the Iberian Coast,"22E5",7400:364:476:3,46.775,-4.625
"POLYGON ((-1.55 45.35,-1.55 45.4,-1.5 45.4,-1.5 45.35,-1.55 45.35))",21.7134155431166,403.439355642579,46.4423198348314,Bay of Biscay and the Iberian Coast,"19E8",7400:351:235:3,45.375,-1.525
