Year,StockKeyLabel,FisheriesGuild,AssessmentYear,F,FMSY,SSB,MSYBtrigger,catches,landings,discards
2003,ank.27.78abd,benthic,2021,1.921,NA,1.03,NA,8351,8171,179
2004,ank.27.78abd,benthic,2021,1.583,NA,1.228,NA,8213,7537,676
2005,ank.27.78abd,benthic,2021,1.662,NA,1.128,NA,7914,7187,727
2006,ank.27.78abd,benthic,2021,1.069,NA,1.514,NA,6835,6131,704
2007,ank.27.78abd,benthic,2021,0.966,NA,1.722,NA,7021,6608,413
2008,ank.27.78abd,benthic,2021,0.729,NA,2.921,NA,8985,7399,1585
2009,ank.27.78abd,benthic,2021,1.126,NA,2.187,NA,10400,8287,2113
2010,ank.27.78abd,benthic,2021,1.189,NA,2.004,NA,10062,8626,1436
2011,ank.27.78abd,benthic,2021,1.269,NA,1.926,NA,10319,9348,971
2012,ank.27.78abd,benthic,2021,1.165,NA,2.01,NA,9888,8429,1459
2013,ank.27.78abd,benthic,2021,1.289,NA,2.345,NA,12760,10475,2285
2014,ank.27.78abd,benthic,2021,1.468,NA,2.001,NA,12402,9832,2570
2015,ank.27.78abd,benthic,2021,1.46,NA,1.801,NA,11109,9649,1460
2016,ank.27.78abd,benthic,2021,1.239,NA,2.419,NA,12660,10220,2441
2017,ank.27.78abd,benthic,2021,1.107,NA,2.877,NA,13460,11690,1770
2018,ank.27.78abd,benthic,2021,0.577,NA,4.437,NA,10803,10076,727
2019,ank.27.78abd,benthic,2021,0.575,NA,4.434,NA,10764,9680,1084
2020,ank.27.78abd,benthic,2021,0.511,NA,4.416,NA,9531,8676,855
2003,aru.27.6b7-1012,pelagic,2021,NA,NA,NA,NA,4341,288,4053
2004,aru.27.6b7-1012,pelagic,2021,NA,NA,NA,NA,4097,722,3375
2005,aru.27.6b7-1012,pelagic,2021,NA,NA,NA,NA,3064,626,2438
2006,aru.27.6b7-1012,pelagic,2021,NA,NA,NA,NA,1439,40,1399
2007,aru.27.6b7-1012,pelagic,2021,NA,NA,NA,NA,2119,36,2083
2008,aru.27.6b7-1012,pelagic,2021,NA,NA,NA,NA,3138,20,3118
2009,aru.27.6b7-1012,pelagic,2021,NA,NA,72.95,NA,4205,22,4183
2010,aru.27.6b7-1012,pelagic,2021,NA,NA,89.97,NA,2054,25,2029
2011,aru.27.6b7-1012,pelagic,2021,NA,NA,50.32,NA,2070,14,2056
2012,aru.27.6b7-1012,pelagic,2021,NA,NA,83.02,NA,239,36,203
2013,aru.27.6b7-1012,pelagic,2021,NA,NA,121.5,NA,134,1,133
2014,aru.27.6b7-1012,pelagic,2021,NA,NA,59.57,NA,1388,22,1366
2015,aru.27.6b7-1012,pelagic,2021,NA,NA,72.56,NA,34,5,29
2016,aru.27.6b7-1012,pelagic,2021,NA,NA,172.94,NA,240,0,240
2017,aru.27.6b7-1012,pelagic,2021,NA,NA,129.63,NA,159,8,151
2018,aru.27.6b7-1012,pelagic,2021,NA,NA,98.72,NA,149,36,113
2019,aru.27.6b7-1012,pelagic,2021,NA,NA,67.6,NA,160,7,151
2020,aru.27.6b7-1012,pelagic,2021,NA,NA,109.81,NA,172,76,107
2001,boc.27.6-8,pelagic,2021,NA,NA,0.818,NA,120,120,0
2002,boc.27.6-8,pelagic,2021,NA,NA,0.7,NA,91,91,0
2003,boc.27.6-8,pelagic,2021,NA,NA,0.637,NA,11387,458,10929
2004,boc.27.6-8,pelagic,2021,NA,NA,0.894,NA,5151,675,4476
2005,boc.27.6-8,pelagic,2021,NA,NA,0.861,NA,5960,165,5795
2006,boc.27.6-8,pelagic,2021,NA,NA,1.072,NA,7138,2772,4366
2007,boc.27.6-8,pelagic,2021,NA,NA,0.973,NA,21576,18387,3189
2008,boc.27.6-8,pelagic,2021,NA,NA,1.176,NA,34750,24682,10068
2009,boc.27.6-8,pelagic,2021,NA,NA,1.189,NA,90370,83688,6682
2010,boc.27.6-8,pelagic,2021,NA,NA,1.77,NA,144047,137503,6544
2011,boc.27.6-8,pelagic,2021,NA,NA,1.559,NA,37097,31295,5802
2012,boc.27.6-8,pelagic,2021,NA,NA,2.174,NA,87355,80721,6634
2013,boc.27.6-8,pelagic,2021,NA,NA,1.5,NA,75410,69812,5598
2014,boc.27.6-8,pelagic,2021,NA,NA,0.703,NA,45231,43418,1813
2015,boc.27.6-8,pelagic,2021,NA,NA,0.844,NA,17767,16838,929
2016,boc.27.6-8,pelagic,2021,NA,NA,0.628,NA,19315,18032,1283
2017,boc.27.6-8,pelagic,2021,NA,NA,1.11,NA,17388,16215,1173
2018,boc.27.6-8,pelagic,2021,NA,NA,1.185,NA,11286,9927,1359
2019,boc.27.6-8,pelagic,2021,NA,NA,0.997,NA,11312,11007,306
2020,boc.27.6-8,pelagic,2021,NA,NA,1.179,NA,15649,15450,198
2015,bss.27.8ab,demersal,2021,0.127,0.1381,18735,16688,2332,2264,68
2016,bss.27.8ab,demersal,2021,0.126,0.1381,17939,16688,2317,2252,65
2017,bss.27.8ab,demersal,2021,0.124,0.1381,17896,16688,2491,2295,196
2018,bss.27.8ab,demersal,2021,0.121,0.1381,18416,16688,2493,2338,155
2019,bss.27.8ab,demersal,2021,0.115,0.1381,19079,16688,2410,2227,183
2020,bss.27.8ab,demersal,2021,0.111,0.1381,19357,16688,2131,2090,41
2010,dgs.27.nea,elasmobranch,2020,0.01,NA,340320,677068,2468,1249,1219
2011,dgs.27.nea,elasmobranch,2020,0.01,NA,349172,677068,2468,580,1888
2012,dgs.27.nea,elasmobranch,2020,0.01,NA,358102,677068,2468,261,2207
2013,dgs.27.nea,elasmobranch,2020,0.009,NA,367455,677068,2468,333,2135
2014,dgs.27.nea,elasmobranch,2020,0.009,NA,376770,677068,2468,383,2085
2015,dgs.27.nea,elasmobranch,2020,0.009,NA,386343,677068,2468,263,2205
2016,dgs.27.nea,elasmobranch,2020,0.009,NA,396400,677068,2468,373,2095
2017,dgs.27.nea,elasmobranch,2020,0.008,NA,406569,677068,2468,296,2172
2018,dgs.27.nea,elasmobranch,2020,0.008,NA,416836,677068,2468,363,2105
2019,dgs.27.nea,elasmobranch,2020,0.008,NA,426532,677068,2468,454,2014
2013,gfb.27.nea,demersal,2020,NA,NA,1.62,NA,3328,2143,1185
2014,gfb.27.nea,demersal,2020,NA,NA,1.26,NA,3435,2269,1166
2015,gfb.27.nea,demersal,2020,NA,NA,0.97,NA,4242,2174,2068
2016,gfb.27.nea,demersal,2020,NA,NA,0.8,NA,2689,2012,677
2017,gfb.27.nea,demersal,2020,NA,NA,0.99,NA,2016,1503,513
2018,gfb.27.nea,demersal,2020,NA,NA,0.67,NA,2064,1801,263
2019,gfb.27.nea,demersal,2020,NA,NA,0.69,NA,2216,1850,366
1988,hke.27.3a46-8abd,demersal,2021,1.0503,0.26,43908,56000,64825,64823,2
1989,hke.27.3a46-8abd,demersal,2021,1.1333,0.26,43036,56000,66546,66473,73
1994,hke.27.3a46-8abd,demersal,2021,1.1108,0.26,29333,56000,51615,51259,356
1999,hke.27.3a46-8abd,demersal,2021,1.0146,0.26,26594,56000,40163,39814,349
2000,hke.27.3a46-8abd,demersal,2021,0.9546,0.26,29381,56000,42109,42026,83
2003,hke.27.3a46-8abd,demersal,2021,0.8384,0.26,36566,56000,45272,43162,2110
2004,hke.27.3a46-8abd,demersal,2021,0.8538,0.26,41638,56000,48969,46417,2552
2005,hke.27.3a46-8abd,demersal,2021,0.9904,0.26,39729,56000,51226,46550,4676
2006,hke.27.3a46-8abd,demersal,2021,0.8751,0.26,32217,56000,43283,41467,1816
2007,hke.27.3a46-8abd,demersal,2021,0.7491,0.26,39067,56000,47219,45028,2191
2008,hke.27.3a46-8abd,demersal,2021,0.6047,0.26,46620,56000,50987,47739,3248
2009,hke.27.3a46-8abd,demersal,2021,0.4908,0.26,70773,56000,69408,58818,10590
2010,hke.27.3a46-8abd,demersal,2021,0.3707,0.26,129738,56000,82777,72799,9978
2011,hke.27.3a46-8abd,demersal,2021,0.3053,0.26,211698,56000,101696,87540,14156
2012,hke.27.3a46-8abd,demersal,2021,0.2696,0.26,238004,56000,98357,85677,12680
2013,hke.27.3a46-8abd,demersal,2021,0.2723,0.26,238566,56000,93639,77753,15886
2014,hke.27.3a46-8abd,demersal,2021,0.2515,0.26,248043,56000,99853,89940,9913
2015,hke.27.3a46-8abd,demersal,2021,0.2426,0.26,283027,56000,103490,93670,9820
2016,hke.27.3a46-8abd,demersal,2021,0.2664,0.26,307092,56000,121847,109106,12741
2017,hke.27.3a46-8abd,demersal,2021,0.3663,0.26,280165,56000,112057,104671,7386
2018,hke.27.3a46-8abd,demersal,2021,0.2949,0.26,235279,56000,96705,89671,7034
2019,hke.27.3a46-8abd,demersal,2021,0.2816,0.26,217121,56000,87238,82298,4940
2020,hke.27.3a46-8abd,demersal,2021,0.2616,0.26,224675,56000,75836,72579,3257
1989,hke.27.8c9a,demersal,2020,0.844,NA,1.19,NA,13786,13786,0
1990,hke.27.8c9a,demersal,2020,1.202,NA,0.8,NA,13190,13190,0
1991,hke.27.8c9a,demersal,2020,1.218,NA,0.754,NA,12827,12827,0
1992,hke.27.8c9a,demersal,2020,1.822,NA,0.609,NA,14271,13798,473
1993,hke.27.8c9a,demersal,2020,1.535,NA,0.572,NA,12172,11489,683
1994,hke.27.8c9a,demersal,2020,0.978,NA,0.785,NA,10859,9865,994
1995,hke.27.8c9a,demersal,2020,1.071,NA,0.949,NA,14341,12239,2102
1996,hke.27.8c9a,demersal,2020,0.78,NA,1.088,NA,11640,9730,1910
1997,hke.27.8c9a,demersal,2020,0.629,NA,1.237,NA,10769,8499,2270
1998,hke.27.8c9a,demersal,2020,0.864,NA,0.784,NA,9364,7683,1681
1999,hke.27.8c9a,demersal,2020,0.743,NA,0.879,NA,8690,7171,1519
2000,hke.27.8c9a,demersal,2020,1.02,NA,0.687,NA,9737,7902,1835
2001,hke.27.8c9a,demersal,2020,1.267,NA,0.678,NA,9243,7581,1662
2002,hke.27.8c9a,demersal,2020,1.05,NA,0.686,NA,8189,6697,1492
2003,hke.27.8c9a,demersal,2020,0.881,NA,0.71,NA,8206,6745,1461
2004,hke.27.8c9a,demersal,2020,0.668,NA,0.835,NA,7854,6940,913
2005,hke.27.8c9a,demersal,2020,0.669,NA,1.107,NA,10280,8302,1978
2006,hke.27.8c9a,demersal,2020,1.018,NA,0.985,NA,14061,10799,3262
2007,hke.27.8c9a,demersal,2020,1.355,NA,0.914,NA,17438,14934,2504
2008,hke.27.8c9a,demersal,2020,1.352,NA,0.999,NA,19084,16773,2311
2009,hke.27.8c9a,demersal,2020,1.254,NA,1.383,NA,22177,19242,2935
2010,hke.27.8c9a,demersal,2020,1.015,NA,1.293,NA,17316,15736,1580
2011,hke.27.8c9a,demersal,2020,1.082,NA,1.356,NA,19020,17072,1948
2012,hke.27.8c9a,demersal,2020,0.855,NA,1.4,NA,16395,14573,1822
2013,hke.27.8c9a,demersal,2020,0.916,NA,1.097,NA,14209,11661,2549
2014,hke.27.8c9a,demersal,2020,1.181,NA,0.907,NA,14614,12011,2602
2015,hke.27.8c9a,demersal,2020,0.612,NA,1.666,NA,14077,11786,2292
2016,hke.27.8c9a,demersal,2020,0.841,NA,1.278,NA,14756,12443,2313
2017,hke.27.8c9a,demersal,2020,0.683,NA,1.141,NA,10847,9171,1676
2018,hke.27.8c9a,demersal,2020,0.757,NA,1.145,NA,12125,10183,1942
2019,hke.27.8c9a,demersal,2020,0.838,NA,1.086,NA,12861,11800,1061
1986,ldb.27.8c9a,benthic,2021,0.451,0.193,4280,4600,1408,1124,284
1987,ldb.27.8c9a,benthic,2021,0.454,0.193,6004,4600,2021,1688,333
1988,ldb.27.8c9a,benthic,2021,0.483,0.193,6698,4600,2586,2223,363
1989,ldb.27.8c9a,benthic,2021,0.631,0.193,6688,4600,3037,2629,408
1990,ldb.27.8c9a,benthic,2021,0.463,0.193,5908,4600,2354,1945,409
1991,ldb.27.8c9a,benthic,2021,0.396,0.193,5703,4600,2129,1682,447
1992,ldb.27.8c9a,benthic,2021,0.625,0.193,5383,4600,2353,1916,437
1993,ldb.27.8c9a,benthic,2021,0.512,0.193,5249,4600,1822,1384,438
1994,ldb.27.8c9a,benthic,2021,0.488,0.193,5509,4600,1920,1403,517
1995,ldb.27.8c9a,benthic,2021,0.612,0.193,4913,4600,2058,1652,406
1996,ldb.27.8c9a,benthic,2021,0.558,0.193,4309,4600,1466,1098,368
1997,ldb.27.8c9a,benthic,2021,0.365,0.193,3784,4600,1204,896,308
1998,ldb.27.8c9a,benthic,2021,0.42,0.193,4457,4600,1501,1123,378
1999,ldb.27.8c9a,benthic,2021,0.433,0.193,3973,4600,1442,1125,317
2000,ldb.27.8c9a,benthic,2021,0.494,0.193,3710,4600,1414,1041,373
2001,ldb.27.8c9a,benthic,2021,0.554,0.193,3133,4600,1221,931,290
2002,ldb.27.8c9a,benthic,2021,0.432,0.193,3314,4600,1028,720,308
2003,ldb.27.8c9a,benthic,2021,0.331,0.193,3665,4600,1067,876,191
2004,ldb.27.8c9a,benthic,2021,0.456,0.193,3985,4600,1354,1006,348
2005,ldb.27.8c9a,benthic,2021,0.39,0.193,3990,4600,1358,983,375
2006,ldb.27.8c9a,benthic,2021,0.464,0.193,4563,4600,1427,1092,335
2007,ldb.27.8c9a,benthic,2021,0.375,0.193,4493,4600,1396,1104,292
2008,ldb.27.8c9a,benthic,2021,0.283,0.193,5174,4600,1182,980,202
2009,ldb.27.8c9a,benthic,2021,0.309,0.193,5098,4600,1413,1134,279
2010,ldb.27.8c9a,benthic,2021,0.279,0.193,5534,4600,1562,1297,265
2011,ldb.27.8c9a,benthic,2021,0.275,0.193,5121,4600,1397,1128,269
2012,ldb.27.8c9a,benthic,2021,0.24,0.193,5861,4600,1321,952,369
2013,ldb.27.8c9a,benthic,2021,0.313,0.193,5383,4600,1427,931,496
2014,ldb.27.8c9a,benthic,2021,0.373,0.193,6084,4600,1942,1154,788
2015,ldb.27.8c9a,benthic,2021,0.471,0.193,5794,4600,1745,1148,597
2016,ldb.27.8c9a,benthic,2021,0.271,0.193,5656,4600,1419,1087,332
2017,ldb.27.8c9a,benthic,2021,0.272,0.193,5809,4600,1173,926,246
2018,ldb.27.8c9a,benthic,2021,0.13,0.193,5901,4600,906,814,92
2019,ldb.27.8c9a,benthic,2021,0.146,0.193,6132,4600,943,742,201
2020,ldb.27.8c9a,benthic,2021,0.108,0.193,7353,4600,792,711,81
1986,mon.27.78abd,benthic,2021,0.28,0.28,51093,22278,26842,24981,1861
1987,mon.27.78abd,benthic,2021,0.296,0.28,60055,22278,24812,23091,1721
1988,mon.27.78abd,benthic,2021,0.325,0.28,59307,22278,22902,21314,1588
1989,mon.27.78abd,benthic,2021,0.362,0.28,52594,22278,25804,24015,1789
1990,mon.27.78abd,benthic,2021,0.36,0.28,47285,22278,22545,20982,1563
1991,mon.27.78abd,benthic,2021,0.34,0.28,46950,22278,18012,16763,1249
1992,mon.27.78abd,benthic,2021,0.252,0.28,43097,22278,14632,13617,1015
1993,mon.27.78abd,benthic,2021,0.256,0.28,43918,22278,16005,14895,1110
1994,mon.27.78abd,benthic,2021,0.336,0.28,39508,22278,18483,17201,1282
1995,mon.27.78abd,benthic,2021,0.351,0.28,40370,22278,22600,21033,1567
1996,mon.27.78abd,benthic,2021,0.366,0.28,40559,22278,25072,23333,1739
1997,mon.27.78abd,benthic,2021,0.435,0.28,40790,22278,24696,22983,1713
1998,mon.27.78abd,benthic,2021,0.411,0.28,39173,22278,22000,20474,1526
1999,mon.27.78abd,benthic,2021,0.502,0.28,36945,22278,20192,18792,1400
2000,mon.27.78abd,benthic,2021,0.336,0.28,28639,22278,15528,14451,1077
2001,mon.27.78abd,benthic,2021,0.455,0.28,30371,22278,18583,17294,1289
2002,mon.27.78abd,benthic,2021,0.449,0.28,26123,22278,23728,22083,1645
2003,mon.27.78abd,benthic,2021,0.506,0.28,24337,22278,30444,27933,2511
2004,mon.27.78abd,benthic,2021,0.589,0.28,21430,22278,31439,29028,2411
2005,mon.27.78abd,benthic,2021,0.48,0.28,23183,22278,29980,27869,2110
2006,mon.27.78abd,benthic,2021,0.354,0.28,26043,22278,28545,27652,892
2007,mon.27.78abd,benthic,2021,0.401,0.28,29582,22278,32029,31213,816
2008,mon.27.78abd,benthic,2021,0.418,0.28,35904,22278,28046,27053,993
2009,mon.27.78abd,benthic,2021,0.424,0.28,41245,22278,23913,21835,2078
2010,mon.27.78abd,benthic,2021,0.42,0.28,36112,22278,24886,22215,2672
2011,mon.27.78abd,benthic,2021,0.369,0.28,34050,22278,26489,24657,1832
2012,mon.27.78abd,benthic,2021,0.406,0.28,35839,22278,30519,28188,2330
2013,mon.27.78abd,benthic,2021,0.36,0.28,36569,22278,32295,30611,1684
2014,mon.27.78abd,benthic,2021,0.377,0.28,40928,22278,30333,28474,1859
2015,mon.27.78abd,benthic,2021,0.348,0.28,49277,22278,30183,27859,2324
2016,mon.27.78abd,benthic,2021,0.353,0.28,47624,22278,32668,29083,3585
2017,mon.27.78abd,benthic,2021,0.352,0.28,52782,22278,27808,25634,2175
2018,mon.27.78abd,benthic,2021,0.289,0.28,54935,22278,23595,22345,1250
2019,mon.27.78abd,benthic,2021,0.241,0.28,60871,22278,22710,21266,1444
2020,mon.27.78abd,benthic,2021,0.233,0.28,59807,22278,21491,20156,1335
1987,nep.fu.2324,crustacean,2021,NA,7.7,NA,NA,7164,5397,1767
1988,nep.fu.2324,crustacean,2021,NA,7.7,NA,NA,9997,5875,4123
