StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
ane.27.8,pelagic,NA,26857,26857,NA,NA,0.221,2020,2020,NA,174428,NA,GREY,26857
aru.27.6b7-1012,pelagic,NA,172,76,107,NA,NA,2021,2020,NA,109.81,NA,GREY,172
boc.27.6-8,pelagic,NA,15649,15450,198,NA,NA,2021,2021,NA,1.434,NA,GREY,15649
bsf.27.nea,pelagic,NA,4317.316,NA,NA,NA,0.061,2020,2019,NA,66799.43,NA,GREY,4317.316
hom.27.2a4a5b6a7a-ce-k8,pelagic,0.959459459459459,76422,NA,NA,0.074,0.071,2021,2021,0.715650122574195,836074,1168272,RED,76422
hom.27.9a,pelagic,0.16,30177,30177,NA,0.15,0.024,2021,2021,5.42469613259668,981870,181000,GREEN,30177
mac.27.nea,pelagic,0.957692307692308,1039513,NA,NA,0.26,0.249,2021,2021,1.36079418604651,3510849,2580000,GREEN,1039513
pil.27.8abd,pelagic,0.836644591611479,24579,NA,NA,0.453,0.379,2020,2020,1.32039390088945,103915,78700,GREEN,24579
pil.27.8c9a,pelagic,1.8125,13759,NA,NA,0.032,0.058,2020,2020,1.36270359531607,344114,252523,RED,13759
whb.27.1-91214,pelagic,1.446875,1460507,1460507,NA,0.32,0.463,2021,2021,1.53100044444444,3444751,2250000,RED,1460507
