StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
ank.27.78abd,benthic,NA,9531,8676,855,NA,0.511,2021,2020,NA,4.416,NA,GREY,9531
ank.27.8c9a,benthic,0.39,NA,793,NA,1,0.39,2021,2021,2.54,1.27,0.5,GREEN,793
ldb.27.8c9a,benthic,0.559585492227979,792,711,81,0.193,0.108,2021,2021,1.84565217391304,8490,4600,GREEN,792
meg.27.7b-k8abd,benthic,0.717277486910995,NA,11141,885,0.191,0.137,2021,2021,3.02179425837321,126311,41800,GREEN,11141
meg.27.8c9a,benthic,0.607329842931937,NA,320,5,0.191,0.116,2021,2021,2.83877551020408,2782,980,GREEN,320
mon.27.78abd,benthic,0.832142857142857,21491,20156,1335,0.28,0.233,2021,2021,2.88131789209085,64190,22278,GREEN,21491
mon.27.8c9a,benthic,0.345833333333333,NA,722,NA,0.24,0.083,2021,2021,1.85023078147382,11625,6283,GREEN,722
sol.27.8ab,benthic,1.15151515151515,NA,3219,74,0.33,0.38,2021,2021,0.896415094339623,9502,10600,RED,3219
sol.27.8c9a,benthic,NA,NA,430,0,NA,NA,2021,2020,NA,0.957,NA,GREY,430
