"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"mon.27.8c9a",2021,"MP","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","benthic"
"mur.27.67a-ce-k89a",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"mur.27.67a-ce-k89a",2020,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"nep.fu.2324",2021,"MSY","Maximum sustainable yield","GREEN","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.2324",2021,"MSY","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.25",2021,"MSY/PA","Maximum sustainable yield","GREEN","RED","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.25",2021,"MSY/PA","Precautionary approach","GREEN","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.2627",2021,"MSY/PA","Maximum sustainable yield","GREEN","RED","RED","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.2627",2021,"MSY/PA","Precautionary approach","GREEN","RED","RED","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.2829",2021,"PA","Maximum sustainable yield","GREEN","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.2829",2021,"PA","Precautionary approach","GREEN","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.30",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.30",2021,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.31",2021,"MSY","Maximum sustainable yield","GREEN","RED","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"nep.fu.31",2021,"MSY","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","crustacean"
"ory.27.nea",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"ory.27.nea",2020,"PA","Precautionary approach","GREY","qual_RED","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"pil.27.8abd",2020,"MSY","Maximum sustainable yield","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"pil.27.8abd",2020,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"pil.27.8c9a",2020,"MSY","Maximum sustainable yield","RED","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"pil.27.8c9a",2020,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","pelagic"
"pol.27.89a",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"pol.27.89a",2021,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"por.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
